English,Polish
magazine,czasopismo
main,glowny
maintain,utrzymywac
major,glowny
majority,wiekszosc
man,Czlowiek
manage,zarzadzac
management,kierownictwo
manager,menedzer
many,wiele
market,rynek
marriage,malzenstwo
material,material
matter,material
may,moc
maybe,Moze
me,Ja
mean,miec na mysli
measure,mierzyc
media,gloska bezdzwieczna
medical,medyczny
meet,poznac
meeting,spotkanie
member,czlonek
memory,pamiec
mention,wzmianka
message,wiadomosc
method,metoda
middle,srodek
might,moc
military,wojskowy
million,milion
mind,umysl
minute,minuta
miss,chybic
mission,misja
model,Model
modern,nowoczesny
moment,za chwile
money,pieniadze
month,miesiac
more,wiecej
morning,Poranek
most,bardzo
mother,matka
mouth,usta
move,przenosic
movement,ruch
movie,film
Mr,Pan
Mrs,Pani
much,duzo
music,muzyka
must,musiec
my,Moj
myself,ja
name,nazwa
nation,narod
national,krajowy
natural,naturalny
nature,Natura
near,w poblizu
nearly,prawie
necessary,niezbedny
need,potrzebowac
network,siec
never,nigdy
new,nowy
news,Aktualnosci
newspaper,Gazeta
next,Nastepny
nice,Ladny
night,noc
no,NIE
none,nic
nor,ani
north,polnoc
not,nie
note,notatka
nothing,Nic
notice,ogloszenie
now,Teraz
n't,nt
number,numer
occur,zdarzac sie
of,z
off,wylaczony
offer,oferta
office,biuro
officer,oficer
official,urzednik
often,czesto
oh,Oh
oil,olej
ok,OK
old,stary
on,
once,raz
one,jeden
only,tylko
onto,na
open,otwarty
operation,operacja
opportunity,mozliwosc
option,opcja
or,Lub
order,zamowienie
organization,organizacja
other,Inny
others,inni
our,nasz
out,na zewnatrz
outside,poza
over,nad
own,wlasny
owner,wlasciciel
page,strona
pain,bol
painting,obraz
paper,papier
parent,rodzic
part,czesc
participant,uczestnik
particular,konkretny
particularly,w szczegolnosci
partner,partner
party,impreza
pass,przechodzic
past,przeszlosc
patient,pacjent
pattern,wzor
pay,placic
peace,pokoj
people,ludzie
per,za
perform,dokonywac
performance,wydajnosc
perhaps,byc moze
period,okres
person,osoba
personal,osobisty
phone,telefon
physical,fizyczny
pick,wybierac
picture,zdjecie
piece,sztuka
place,miejsce
plan,plan
plant,zaklad
play,grac
player,gracz
PM,PO POLUDNIU
point,punkt
police,Policja
policy,polityka
political,polityczny
politics,Polityka
poor,slaby
popular,popularny
population,populacja
position,pozycja
positive,pozytywny
possible,mozliwy
power,moc
practice,cwiczyc
prepare,przygotowywac
present,obecny
president,prezydent
pressure,cisnienie
pretty,ladny
prevent,zapobiegac
price,cena
private,prywatny
probably,prawdopodobnie
problem,problem
process,proces
produce,produkowac
product,produkt
production,produkcja
professional,profesjonalny
professor,profesor
program,program
project,projekt
property,nieruchomosc
protect,chronic
prove,udowodnic
provide,dostarczac
public,publiczny
pull,ciagnac
purpose,zamiar
push,naciskac
put,umiescic
quality,jakosc
question,pytanie
quickly,szybko
quite,calkiem
race,wyscig
radio,radio
raise,wznosic
range,zakres
rate,wskaznik
rather,raczej
reach,zasieg
read,Czytac
ready,gotowy
real,prawdziwy
reality,rzeczywistosc
realize,realizowac
really,Naprawde
reason,powod
receive,odbierac
recent,ostatni
recently,Ostatnio
recognize,rozpoznac
record,nagrywac
red,czerwony
reduce,zmniejszyc
reflect,odbijac
region,region
relate,odniesc sie
relationship,relacja
religious,religijny
remain,pozostac
remember,Pamietac
remove,usunac
report,raport
represent,przedstawiac
Republican,Republikanski
require,wymagac
research,badania
resource,ratunek
respond,reagowac
response,odpowiedz
responsibility,odpowiedzialnosc
rest,odpoczynek
result,wynik
return,powrot
reveal,ujawnic
rich,bogaty
right,Prawidlowy
rise,wzrastac
risk,ryzyko
road,droga
rock,glaz
role,rola
room,pokoj
rule,regula
run,uruchomic
safe,bezpieczna
same,To samo
save,ratowac
say,mowic
scene,scena
school,szkola
science,nauka
scientist,naukowiec
score,wynik
sea,morze
season,pora roku
seat,siedziba
second,drugi
section,Sekcja
security,bezpieczenstwo
see,Widziec
seek,szukac
seem,wydaje sie
sell,sprzedac
send,wyslac
senior,senior
sense,sens
series,seria
serious,powazny
serve,podawac
service,praca
set,ustawic
seven,siedem
several,kilka
sex,seks
sexual,seksualny
shake,potrzasnac
share,udzial
she,ona
shoot,strzelac
short,krotki
shot,strzal
should,powinien
shoulder,ramie
show,pokazywac
side,strona
sign,podpisac
significant,istotne
similar,podobny
simple,prosty
simply,po prostu
since,od
sing,spiewac
single,pojedynczy
sister,siostra
sit,siedziec
site,strona
situation,sytuacja
six,szesc
size,rozmiar
skill,umiejetnosc
skin,skora
small,maly
smile,usmiech
so,Wiec
social,spoleczny
society,spoleczenstwo
soldier,zolnierz
some,Niektore
somebody,ktos
someone,ktos
something,cos
sometimes,Czasami
son,syn
song,piosenka
soon,Wkrotce
sort,sortowac
sound,dzwiek
source,zrodlo
south,poludnie
southern,poludniowy
space,przestrzen
speak,mowic
special,specjalny
specific,konkretny
speech,przemowienie
spend,wydawac
sport,sport
spring,wiosna
staff,personel
stage,scena
stand,podstawka
standard,standard
star,gwiazda
start,poczatek
state,panstwo
statement,oswiadczenie
station,stacja
stay,zostawac
step,krok
still,Nadal
stock,magazyn
stop,zatrzymywac sie
store,sklep
story,fabula
strategy,strategia
street,ulica
strong,mocny
structure,Struktura
student,student
study,badanie
stuff,rzeczy
style,styl
subject,temat
success,powodzenie
successful,udany
such,taki
suddenly,Nagle
suffer,cierpiec
suggest,sugerowac
summer,lato
support,wsparcie
sure,Jasne
surface,powierzchnia
system,system
table,tabela
take,Brac
talk,rozmawiac
task,zadanie
tax,podatek
teach,uczyc
teacher,nauczyciel
team,zespol
technology,technologia
television,telewizja
tell,powiedziec
ten,dziesiec
tend,miec sklonnosci
term,termin
test,test
than,niz
thank,dziekowac
that,To
the,.
their,ich
them,ich
themselves,sobie
then,Nastepnie
theory,teoria
there,Tam
these,te
they,Oni
thing,rzecz
think,myslec
third,trzeci
this,Ten
those,te
though,chociaz
thought,mysl
thousand,tysiac
threat,zagrozenie
three,trzy
through,Poprzez
throughout,na wskros
throw,rzucic
thus,zatem
time,czas
to,Do
today,Dzisiaj
together,razem
tonight,dzis wieczorem
too,zbyt
top,szczyt
total,calkowity
tough,trudny
toward,w kierunku
town,miasto
trade,handel
traditional,tradycyjny
training,szkolenie
travel,podroz
treat,traktowac
treatment,leczenie
tree,drzewo
trial,test
trip,wycieczka
trouble,klopoty
TRUE,PRAWDA
truth,prawda
try,probowac
turn,zakret
TV,telewizja
two,dwa
type,typ
under,pod 
understand,zrozumiec
unit,jednostka
until,dopoki
up,w gore
upon,od
us,nas
use,uzywac
usually,zazwyczaj
value,wartosc
various,rozny
very,bardzo
victim,ofiara
view,poglad
violence,przemoc
visit,odwiedzac
voice,glos
vote,glosowac
wait,Czekac
walk,chodzic
wall,sciana
want,chciec
watch,ogladac
water,woda
way,sposob
we,My
weapon,bron
wear,nosic 
week,tydzien
weight,waga
well,Dobrze
west,Zachod
western,Zachodni
what,Co
whatever,cokolwiek
when,Kiedy
where,Gdzie
whether,czy
which,Ktory
while,chwila
white,bialy
who,Kto
whole,caly
whom,kogo
whose,ktorego
why,Dlaczego
wide,szeroki
wife,zona
will,bedzie
win,wygrac
wind,wiatr
window,okno
wish,zyczenie
with,z
within,w
without,bez
woman,kobieta
wonder,zastanawiac sie
word,slowo
work,praca
worker,pracownik
world,swiat
worry,martwic sie
would,zrobilbym
write,pisac
writer,pisarz
wrong,zlo
yard,dziedziniec
yeah,Tak
year,rok
yes,Tak
yet,juz
you,Ty
young,mlody
your,twoj
yourself,sie
